City,County,Electrical_Rate_KWhr,Population_2019,Area_sqmi
Aberdeen,Grays Harbor,8.55,"16,756",10.65
Airway Heights,Spokane,7.98,"9,485",5.12
Algona,King,10.36,"3,208",1.30
Anacortes,Skagit,10.36,"17,527",11.76
Arlington,Snohomish,8.44,"20,523",9.30
Asotin,Asotin,9.57,"1,289",1.05
Auburn,King,10.36,"81,464",29.62
Bainbridge Island,Kitsap,10.36,"25,298",27.61
Battle Ground,Clark,9.18,"21,252",7.86
Bellevue,King,10.36,"148,164",33.48
Bellingham,Whatcom,10.36,"92,314",27.07
Benton City,Benton,7.59,"3,495",2.43
Bingen,Klickitat,8.73,742,0.62
Black Diamond,King,10.36,"4,781",6.56
Blaine,Whatcom,6.74,"5,607",5.63
Bonney Lake,Pierce,10.36,"21,148",7.94
Bothell,King,10.36,"47,415",12.10
Bremerton,Kitsap,10.36,"41,405",28.42
Brewster,Okanogan,6.51,"2,357",1.19
Bridgeport,Douglas,2.64,"2,613",1.05
Brier,Snohomish,8.44,"6,970",2.13
Buckley,Pierce,10.36,"5,058",3.87
Burien,King,10.36,"51,500",10.06
Burlington,Skagit,10.36,"9,224",4.25
Camas,Clark,9.18,"24,418",13.74
Carnation,King,10.36,"2,282",1.16
Cashmere,Chelan,3.22,"3,172",1.11
Castle Rock,Cowlitz,7.29,"2,298",1.99
Centralia,Lewis,7.62,"17,745",7.49
Chehalis,Lewis,10.36,"7,654",5.53
Chelan,Chelan,3.22,"4,237",6.36
Cheney,Spokane,6.19,"12,522",4.35
Chewelah,Stevens,8.07,"2,676",2.98
Clarkston,Asotin,8.53,"7,375",2.01
Cle Elum,Kittitas,10.05,"2,037",3.82
Clyde Hill,King,10.36,"3,386",1.06
Colfax,Whitman,7.98,"2,872",3.79
College Place,Walla Walla,8.23,"9,317",2.68
Colville,Stevens,8.68,"4,832",2.97
Connell,Franklin,6.62,"5,545",7.87
Cosmopolis,Grays Harbor,8.55,"1,662",1.33
Covington,King,10.36,"21,175",5.81
Davenport,Lincoln,7.98,"1,744",1.82
Dayton,Columbia,8.23,"2,442",1.43
Deer Park,Spokane,7.27,"4,364",6.89
Des Moines,King,10.36,"32,348",6.50
DuPont,Pierce,10.36,"9,516",5.86
Duvall,King,10.36,"8,107",2.45
East Wenatchee,Douglas,2.64,"14,219",3.80
Edgewood,Pierce,8.44,"13,053",8.41
Edmonds,Snohomish,8.44,"42,605",8.90
Electric City,Grant,7.44,"1,002",1.98
Ellensburg,Kittitas,7.63,"21,111",7.03
Elma,Grays Harbor,8.55,"3,351",1.89
Entiat,Chelan,3.22,"1,280",2.11
Enumclaw,King,10.36,"12,190",5.16
Ephrata,Grant,4.85,"8,136",10.09
Everett,Snohomish,8.44,"111,475",33.11
Everson,Whatcom,10.36,"2,841",1.31
Federal Way,King,10.36,"96,289",22.27
Ferndale,Whatcom,10.36,"14,897",7.03
Fife,Pierce,10.36,"10,184",5.69
Fircrest,Pierce,7.5,"6,835",1.58
Forks,Clallam,8.09,"3,880",3.91
George,Grant,4.85,516,1.33
Gig Harbor,Pierce,8.68,"10,717",5.95
Gold Bar,Snohomish,8.44,"2,352",1.03
Goldendale,Klickitat,8.73,"3,505",2.52
Grand Coulee,Grant,7.44,"1,048",1.24
Grandview,Yakima,8.23,"11,078",6.23
Granger,Yakima,8.23,"3,830",1.79
Granite Falls,Snohomish,8.44,"4,234",2.19
Harrington,Lincoln,7.98,418,0.38
Hoquiam,Grays Harbor,8.55,"8,655",9.08
Ilwaco,Pacific,7.73,991,2.10
Issaquah,King,6.62,"39,509",11.41
Kahlotus,Franklin,6.62,193,0.47
Kalama,Cowlitz,7.29,"2,798",2.77
Kelso,Cowlitz,7.29,"12,417",8.14
Kenmore,King,10.36,"23,097",6.17
Kennewick,Benton,7.59,"84,347",26.87
Kent,King,10.36,"132,319",33.76
Kettle Falls,Stevens,8.68,"1,635",1.12
Kirkland,King,10.36,"93,010",17.82
Kittitas,Kittitas,10.05,"1,497",0.73
La Center,Clark,9.18,"3,404",2.21
Lacey,Thurston,10.36,"52,592",16.06
Lake Forest Park,King,10.36,"13,504",3.53
Lake Stevens,Snohomish,8.44,"33,911",8.88
Lakewood,Pierce,7.26,"61,037",17.18
Langley,Island,0,"1,140",1.08
Leavenworth,Chelan,3.22,"2,029",1.23
Liberty Lake,Spokane,7.98,"10,956",6.14
Long Beach,Pacific,7.73,"1,496",1.35
Longview,Cowlitz,7.29,"38,440",14.54
Lynden,Whatcom,10.36,"15,223",5.26
Lynnwood,Snohomish,8.44,"39,141",7.85
Mabton,Yakima,8.23,"2,268",0.81
Maple Valley,King,10.36,"27,202",5.73
Marysville,Snohomish,8.44,"70,298",20.69
Mattawa,Grant,4.85,"4,758",0.74
McCleary,Grays Harbor,7.2,"1,764",2.05
Medical Lake,Spokane,7.98,"4,966",3.40
Medina,King,10.36,"3,288",1.45
Mercer Island,King,10.36,"25,894",6.32
Mesa,Franklin,8.32,508,1.64
Mill Creek,Snohomish,8.44,"20,897",4.66
Millwood,Spokane,6.27,"1,800",0.70
Milton,Pierce,6.59,"8,299",2.62
Monroe,Snohomish,8.44,"19,776",6.05
Montesano,Grays Harbor,8.55,"4,052",10.58
Morton,Lewis,6.34,"1,199",0.82
Moses Lake,Grant,4.85,"24,086",17.84
Mossyrock,Lewis,6.34,820,0.68
Mount Vernon,Skagit,10.36,"36,006",12.24
Mountlake Terrace,Snohomish,8.44,"21,338",4.06
Moxee,Yakima,8.23,"4,104",2.20
Mukilteo,Snohomish,8.44,"21,441",6.34
Napavine,Lewis,10.36,"2,001",2.38
Newcastle,King,10.36,"12,292",4.45
Newport,Pend Oreille,6.12,"2,199",1.35
Nooksack,Whatcom,10.36,"1,631",0.71
Normandy Park,King,10.36,"6,604",2.52
North Bend,King,10.36,"7,423",4.37
North Bonneville,Skamania,7.37,"1,007",2.41
Oak Harbor,Island,10.36,"23,565",9.65
Oakville,Grays Harbor,8.55,692,0.50
Ocean Shores,Grays Harbor,8.55,"6,494",8.51
Okanogan,Okanogan,6.51,"2,588",1.99
Olympia,Thurston,10.36,"52,882",17.82
Omak,Okanogan,6.51,"4,778",3.46
Oroville,Okanogan,6.51,"1,675",1.64
Orting,Pierce,10.36,"8,610",2.73
Othello,Adams,7.65,"8,386",3.81
Pacific,King,10.36,"7,178",2.41
Palouse,Whitman,9.57,"1,075",1.08
Pasco,Franklin,8.32,"75,432",31.46
Pateros,Okanogan,6.51,714,0.49
Pomeroy,Garfield,8.23,"1,395",1.78
Port Angeles,Clallam,7.21,"20,229",10.70
Port Orchard,Kitsap,10.36,"14,597",9.68
Port Townsend,Jefferson,10.36,"9,831",6.98
Poulsbo,Kitsap,10.36,"11,168",4.74
Prescott,Walla Walla,9.5,305,0.40
Prosser,Benton,7.59,"6,380",4.55
Pullman,Whitman,9.57,"34,506",9.88
Puyallup,Pierce,10.36,"42,361",14.11
Quincy,Grant,4.85,"8,033",4.98
Rainier,Thurston,10.36,"2,287",1.73
Raymond,Pacific,7.73,"2,994",4.06
Redmond,King,10.36,"71,929",16.47
Renton,King,10.36,"101,751",23.37
Republic,Ferry,9.37,"1,066",1.59
Richland,Benton,6.93,"58,225",38.56
Ridgefield,Clark,9.18,"9,153",7.08
Ritzville,Adams,7.65,"1,654",1.70
Rock Island,Douglas,2.64,"1,124",0.62
Roslyn,Kittitas,10.05,958,4.37
Roy,Pierce,8.53,822,0.49
Royal City,Grant,4.85,"2,237",1.35
Ruston,Pierce,7.5,845,0.26
Sammamish,King,10.36,"65,892",18.41
SeaTac,King,10.36,"29,044",10.03
Seattle,King,7.75,"753,675",83.84
Sedro-Woolley,Skagit,10.36,"12,072",3.93
Selah,Yakima,8.23,"8,087",4.51
Sequim,Clallam,8.09,"7,640",6.31
Shelton,Mason,7.59,"10,655",5.76
Shoreline,King,10.36,"57,027",11.67
Snohomish,Snohomish,8.44,"10,154",3.46
Snoqualmie,King,10.36,"13,622",7.22
Soap Lake,Grant,4.85,"1,603",1.30
South Bend,Pacific,7.73,"1,698",1.63
Spangle,Spokane,7.98,319,0.36
Spokane,Spokane,5.71,"222,081",68.73
Spokane Valley,Spokane,7.98,"101,060",37.71
Sprague,Lincoln,7.98,460,0.63
Stanwood,Snohomish,8.44,"7,287",2.82
Stevenson,Skamania,7.37,"1,601",1.65
Sultan,Snohomish,8.44,"5,388",3.15
Sumas,Whatcom,6.4,"1,534",1.48
Sumner,Pierce,10.36,"10,427",7.51
Sunnyside,Yakima,8.23,"16,796",6.63
Tacoma,Pierce,8.14,"217,827",49.73
Tekoa,Whitman,9.57,799,1.14
Tenino,Thurston,10.36,"1,865",1.44
Tieton,Yakima,8.23,"1,308",0.82
Toledo,Lewis,10.36,771,0.40
Tonasket,Okanogan,6.51,"1,121",0.80
Toppenish,Yakima,8.23,"8,809",2.11
Tukwila,King,10.36,"20,347",9.17
Tumwater,Thurston,10.36,"24,024",14.32
Union Gap,Yakima,8.23,"6,200",5.06
University Place,Pierce,7.5,"34,001",8.43
Vader,Lewis,6.34,670,0.93
Vancouver,Clark,9.18,"184,463",46.78
Waitsburg,Walla Walla,8.23,"1,231",1.12
Walla Walla,Walla Walla,8.23,"32,900",12.80
Wapato,Yakima,8.23,"5,010",1.17
Warden,Grant,4.85,"2,812",2.66
Washougal,Clark,9.18,"16,107",5.47
Wenatchee,Chelan,3.22,"34,360",7.86
West Richland,Benton,7.85,"15,075",21.97
Westport,Grays Harbor,8.55,"2,100",3.68
White Salmon,Klickitat,8.73,"2,691",1.24
Winlock,Lewis,10.36,"1,428",1.29
Woodinville,King,10.36,"13,263",5.60
Woodland,Cowlitz,7.29,"6,495",4.05
Woodway,Snohomish,8.44,"1,391",1.11
Yakima,Yakima,8.23,"93,637",27.63
Yelm,Thurston,10.36,"9,456",5.68
Zillah,Yakima,8.23,"3,140",1.85
